Euros par habitant,En milliers d'Euros,Strate,Annee
2 449,5 425 200,TOTAL DES PRODUITS DE FONCTIONNEMENT = A,2010
2 241,4 964 789,TOTAL DES CHARGES DE FONCTIONNEMENT = B,2010
1 119,2 479 145,TOTAL DES RESSOURCES D'INVESTISSEMENT = C,2010
1 265,2 801 912,TOTAL DES EMPLOIS D'INVESTISSEMENT = D,2010
2 546,5 686 279,TOTAL DES PRODUITS DE FONCTIONNEMENT = A,2011
2 327,5 197 859,TOTAL DES CHARGES DE FONCTIONNEMENT = B,2011
1 264,2 822 569,TOTAL DES RESSOURCES D'INVESTISSEMENT = C,2011
1 268,2 832 512,TOTAL DES EMPLOIS D'INVESTISSEMENT = D,2011
2 311,5 218 325,TOTAL DES PRODUITS DE FONCTIONNEMENT = A,2012
2 135,4 820 358,TOTAL DES CHARGES DE FONCTIONNEMENT = B,2012
1 085,2 450 566,TOTAL DES RESSOURCES D'INVESTISSEMENT = C,2012
1 058,2 389 281,TOTAL DES EMPLOIS D'INVESTISSEMENT = D,2012
2 308,5 234 622,TOTAL DES PRODUITS DE FONCTIONNEMENT = A,2013
2 235,5 070 274,TOTAL DES CHARGES DE FONCTIONNEMENT = B,2013
1 157,2 624 710,TOTAL DES RESSOURCES D'INVESTISSEMENT = C,2013
1 048,2 376 591,TOTAL DES EMPLOIS D'INVESTISSEMENT = D,2013
2 365,5 379 714,TOTAL DES PRODUITS DE FONCTIONNEMENT = A,2014
2 294,5 217 973,TOTAL DES CHARGES DE FONCTIONNEMENT = B,2014
1 066,2 426 137,TOTAL DES RESSOURCES D'INVESTISSEMENT = C,2014
1 048,2 385 070,TOTAL DES EMPLOIS D'INVESTISSEMENT = D,2014
2 322,5 261 995,TOTAL DES PRODUITS DE FONCTIONNEMENT = A,2015
2 354,5 333 785,TOTAL DES CHARGES DE FONCTIONNEMENT = B,2015
914,2 071 831,TOTAL DES RESSOURCES D'INVESTISSEMENT = C,2015
788,1 784 950,TOTAL DES EMPLOIS D'INVESTISSEMENT = D,2015
